target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1084.7	21966	633.751
NM_001011562.1	863	696.781	512	22.996
NM_001011566.1	1503	1336.7	813	19.0342
NM_001011563.1	2084	1917.7	501	8.17589
NM_001011568.1	2077	1910.7	480	7.86189
NM_001011565.1	3023	2856.7	436.675	4.78379
NM_001011570.1	582	415.988	9242	695.287
NM_001011567.1	4030	3863.7	871	7.05494
NM_001011572.1	2346	2179.7	61860	888.16
NM_001011574.1	1940	1773.7	5523	97.448
NM_001011571.1	2093	1926.7	4.10384	0.0666584
NM_001011576.1	1195	1028.7	10367	315.386
NM_001011573.1	3160	2993.7	12917	135.03
NM_001011579.1	1430	1263.7	7787.46	192.855
NM_001011575.1	2163	1996.7	4645	72.8033
NM_001011581.1	2439	2272.7	640	8.81284
NM_001011578.1	5441	5274.7	103	0.611108
NM_001011580.1	1544	1377.7	2544.19	57.7927
NM_001011585.1	1638	1471.7	5508	117.126
NM_001011582.1	356	192.922	145981	23680.7
NM_001011587.1	496	330.31	8030	760.804
NM_001011584.1	1606	1439.7	0	0
NM_001011589.1	624	457.953	4050	276.766
NM_001011586.1	2205	2038.7	3694	56.7051
NM_001011591.1	584	417.988	10	0.748712
NM_001011588.1	724	557.873	18	1.00976
NM_001011593.1	548	382.114	37	3.03031
NM_001011590.1	574	408.013	9	0.690316
NM_001011595.1	2818	2651.7	3708	43.7616
NM_001011592.1	1590	1423.7	12281	269.956
NM_001011597.1	2673	2506.7	9085	113.423
NM_001011594.1	4195	4028.7	725.562	5.63622
NM_001011599.1	1942	1775.7	1033.38	18.2124
NM_001011596.1	4100	3933.7	1166	9.27632
NM_001011601.1	1830	1663.7	3001	56.4507
NM_001011598.1	1624	1457.7	2100	45.0847
NM_001011603.1	1683	1516.7	30182	622.768
NM_001011600.1	2052	1885.7	1522	25.2592
NM_001011605.1	1448	1281.7	11853	289.414
NM_001011602.1	2795	2628.7	574	6.83359
NM_001011606.1	1757	1590.7	170	3.34456
NM_001011608.1	1873	1706.7	45943	842.442
NM_001011612.1	304	144.308	0	0
NM_001011613.1	710	543.873	3781.97	217.62
NM_001011610.1	1612	1445.7	1737	37.601
NM_001011614.1	688	521.894	3	0.179894
NM_001011615.1	664	497.914	3025	190.13
NM_001011617.1	374	210.257	961	143.038
NM_001011618.1	523	357.165	8	0.700971
NM_001011619.1	1559	1392.7	37	0.831423
NM_001011620.1	957	790.735	85	3.36408
NM_001011621.1	3254	3087.7	278.789	2.82565
NM_001011622.1	1529	1362.7	3072.68	70.566
NM_001011623.1	3376	3209.7	249	2.4278
NM_001011624.1	4969	4802.7	478.127	3.11556
NM_001011627.1	2520	2353.7	515	6.84754
NM_001011629.1	14440	14273.7	7317.1	16.0428
NM_001011630.1	630	463.944	27591	1861.15
NM_001011631.1	1741	1574.7	131	2.60346
NM_001011633.1	1533	1366.7	64	1.4655
NM_001011635.1	1447	1280.7	83896	2050.08
NM_001011636.1	570	404.029	37592	2911.8
NM_001011637.1	1369	1202.7	75	1.95156
NM_001011638.1	584	417.988	20	1.49742
NM_001011640.1	991	824.703	251	9.52478
NM_001011641.1	970	803.735	1381	53.7724
NM_001011643.1	2378	2211.7	15089	213.507
NM_001011577.1	2389	2222.7	3431	48.3079
NM_001011650.1	2242	2075.7	1578	23.7914
NM_001011634.2	3754	3587.7	1628	14.2009
NM_001012429.1	672	505.904	58986	3648.88
NM_001012627.1	3153	2986.7	143	1.49838
NM_001012615.1	1097	930.703	2837	95.3953
NM_001012962.1	3606	3439.7	6244	56.8095
NM_001012963.1	502	336.283	1157	107.673
NM_001013006.1	2991	2824.7	201	2.22691
NM_001013361.1	4113	3946.7	282	2.23611
NM_001014429.1	1427	1260.7	2135.17	53.0029
NM_001014430.1	438	272.831	378	43.3587
NM_001014983.1	3250	3083.7	101	1.02501
NM_001014991.1	7242	7075.7	2215.01	9.7968
NM_001014993.1	1386	1219.7	35004	898.137
NM_001014994.1	1892	1725.7	6871	124.604
NM_001024697.1	1793	1626.7	25	0.480962
NM_001032361.1	3585	3418.7	2618	23.9655
NM_001039968.1	1349	1182.7	43	1.13781
NM_001040231.1	363	199.62	11	1.72452
NM_001040233.1	1647	1480.7	506	10.6945
NM_001040230.1	13107	12940.7	41851.9	101.213
NM_001040234.1	1500	1333.7	124.755	2.92736
NM_001040208.1	582	415.988	2	0.150462
NM_001040204.1	793	626.849	17160	856.709
NM_001040203.1	644	477.934	4080	267.16
NM_001040205.1	698	531.883	49	2.88309
NM_001040207.1	1179	1012.7	52	1.60694
NM_001040206.1	682	515.894	383	23.2336
NM_001040220.1	483	317.394	1	0.0986007
NM_001040221.1	459	293.571	481	51.2756
NM_001040209.1	588	421.988	65	4.8205
NM_001040224.1	399	234.563	1	0.133419
NM_001040229.1	453	287.629	36	3.91695
NM_001040223.1	555	389.068	35	2.81528
NM_001040227.1	724	557.873	174	9.76097
NM_001040225.1	407	242.343	1	0.129136
NM_001040226.1	432	266.928	356	41.7382
NM_001040236.1	1767	1600.7	9947	194.473
NM_001040267.1	1895	1728.7	11330	205.111
NM_001040255.1	1893	1726.7	696	12.6145
NM_001040257.1	1554	1387.7	101	2.27774
NM_001040258.1	1250	1083.7	227	6.55533
NM_001040265.1	1689	1522.7	380	7.80993
NM_001040263.1	1550	1383.7	2413	54.5749
NM_001040256.1	767	600.861	220	11.4585
NM_001040259.1	1743	1576.7	6	0.119091
NM_001040264.1	1600	1433.7	38	0.829475
NM_001040270.1	509	343.243	0	0
NM_001040269.1	1397	1230.7	3081.81	78.3667
NM_001040277.1	2150	1983.7	1890	29.817
NM_001040681.1	2499	2332.7	523	7.01651
NM_001042458.1	1737	1570.7	1063	21.1796
NM_001042460.1	1794	1627.7	2978.38	57.2642
NM_001077809.1	1344	1177.7	719	19.1061
