target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	1202	7940	589.191
NM_001011562.1	863	814	2	0.219152
NM_001011566.1	1503	1454	548	33.6168
NM_001011563.1	2084	2035	282	12.3602
NM_001011568.1	2077	2028	0	0
NM_001011565.1	3023	2974	0	0
NM_001011570.1	582	533	2988	500.027
NM_001011567.1	4030	3981	0	0
NM_001011572.1	2346	2297	38	1.47558
NM_001011574.1	1940	1891	0	0
NM_001011571.1	2093	2044	60	2.61825
NM_001011576.1	1195	1146	0	0
NM_001011573.1	3160	3111	25	0.716771
NM_001011579.1	1430	1381	0	0
NM_001011575.1	2163	2114	118.225	4.9882
NM_001011581.1	2439	2390	80	2.9856
NM_001011578.1	5441	5392	1	0.0165421
NM_001011580.1	1544	1495	13	0.775608
NM_001011585.1	1638	1589	13	0.729726
NM_001011582.1	356	307	41	11.912
NM_001011587.1	496	447	17545	3500.95
NM_001011584.1	1606	1557	2	0.114573
NM_001011589.1	624	575	3	0.465365
NM_001011586.1	2205	2156	1047	43.315
NM_001011591.1	584	535	0	0
NM_001011588.1	724	675	0	0
NM_001011593.1	548	499	0	0
NM_001011590.1	574	525	5	0.849476
NM_001011595.1	2818	2769	1	0.032212
NM_001011592.1	1590	1541	2283	132.143
NM_001011597.1	2673	2624	2.00031	0.0679943
NM_001011594.1	4195	4146	0	0
NM_001011599.1	1942	1893	3	0.141355
NM_001011596.1	4100	4051	0	0
NM_001011601.1	1830	1781	26	1.30212
NM_001011598.1	1624	1575	0	0
NM_001011603.1	1683	1634	4192	228.828
NM_001011600.1	2052	2003	491	21.8646
NM_001011605.1	1448	1399	240	15.3015
NM_001011602.1	2795	2746	10	0.324818
NM_001011606.1	1757	1708	3	0.156666
NM_001011608.1	1873	1824	1379	67.4341
NM_001011612.1	304	255	0	0
NM_001011613.1	710	661	0	0
NM_001011610.1	1612	1563	0	0
NM_001011614.1	688	639	0	0
NM_001011615.1	664	615	23	3.33575
NM_001011617.1	374	325	3	0.823338
NM_001011618.1	523	474	1	0.188175
NM_001011619.1	1559	1510	0	0
NM_001011620.1	957	908	378	37.1318
NM_001011621.1	3254	3205	1.00827	0.0280602
NM_001011622.1	1529	1480	0	0
NM_001011623.1	3376	3327	0	0
NM_001011624.1	4969	4920	15	0.271936
NM_001011627.1	2520	2471	108	3.89844
NM_001011629.1	14440	14391	3	0.0185939
NM_001011630.1	630	581	1518	233.043
NM_001011631.1	1741	1692	6	0.316294
NM_001011633.1	1533	1484	0	0
NM_001011635.1	1447	1398	353	22.522
NM_001011636.1	570	521	7112	1217.57
NM_001011637.1	1369	1320	13	0.878435
NM_001011638.1	584	535	0	0
NM_001011640.1	991	942	2701	255.749
NM_001011641.1	970	921	453	43.8711
NM_001011643.1	2378	2329	1	0.0382975
NM_001011577.1	2389	2340	520	19.8211
NM_001011650.1	2242	2193	0	0
