target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	816.754	2313	247.204
NM_001011562.1	863	448.021	28	5.45546
NM_001011566.1	1503	1068.75	50	4.08379
NM_001011563.1	2084	1649.75	59	3.12179
NM_001011568.1	2077	1642.75	48	2.55059
NM_001011565.1	3023	2588.75	83.1643	2.80426
NM_001011570.1	582	239.26	2559	933.622
NM_001011567.1	4030	3595.75	53	1.28664
NM_001011572.1	2346	1911.75	4384	200.175
NM_001011574.1	1940	1505.75	103	5.9711
NM_001011571.1	2093	1658.75	2	0.105249
NM_001011576.1	1195	760.754	5817	667.461
NM_001011573.1	3160	2725.75	481	15.4039
NM_001011579.1	1430	995.754	3621	317.43
NM_001011575.1	2163	1728.75	697	35.1942
NM_001011581.1	2439	2004.75	132	5.74757
NM_001011578.1	5441	5006.75	33	0.575346
NM_001011580.1	1544	1109.75	169	13.2933
NM_001011585.1	1638	1203.75	1199	86.9466
NM_001011582.1	356	118.955	87	63.8424
NM_001011587.1	496	182.968	436	208.009
NM_001011584.1	1606	1171.75	0	0
NM_001011589.1	624	268.764	137	44.496
NM_001011586.1	2205	1770.75	134	6.60569
NM_001011591.1	584	240.7	5	1.81328
NM_001011588.1	724	341.642	0	0
NM_001011593.1	548	215.811	1	0.404481
NM_001011590.1	574	233.669	7	2.61498
NM_001011595.1	2818	2383.75	346	12.6703
NM_001011592.1	1590	1155.75	1689	127.566
NM_001011597.1	2673	2238.75	615	23.9795
NM_001011594.1	4195	3760.75	69	1.60157
NM_001011599.1	1942	1507.75	116	6.71582
NM_001011596.1	4100	3665.75	189	4.50059
NM_001011601.1	1830	1395.75	5750	359.609
NM_001011598.1	1624	1189.75	5	0.366846
NM_001011603.1	1683	1248.75	2777	194.12
NM_001011600.1	2052	1617.75	80	4.31667
NM_001011605.1	1448	1013.75	36	3.09985
NM_001011602.1	2795	2360.75	360	13.3114
NM_001011606.1	1757	1322.75	51	3.3656
NM_001011608.1	1873	1438.75	658	39.9219
NM_001011612.1	304	95.1997	0	0
NM_001011613.1	710	330.988	1	0.26373
NM_001011610.1	1612	1177.75	348	25.7927
NM_001011614.1	688	313.884	3	0.834301
NM_001011615.1	664	297.596	4	1.17329
NM_001011617.1	374	116.64	16	11.9741
NM_001011618.1	523	199.447	0	0
NM_001011619.1	1559	1124.75	18	1.39697
NM_001011620.1	957	527.349	13	2.15187
NM_001011621.1	3254	2819.75	21.0098	0.650401
NM_001011622.1	1529	1094.75	0	0
NM_001011623.1	3376	2941.75	31	0.91987
NM_001011624.1	4969	4534.75	76	1.46296
NM_001011627.1	2520	2085.75	55	2.30182
NM_001011629.1	14440	14005.8	1041.94	6.49395
NM_001011630.1	630	272.735	220836	70680.5
NM_001011631.1	1741	1306.75	18	1.2024
NM_001011633.1	1533	1098.75	135	10.7252
NM_001011635.1	1447	1012.75	6667	574.643
NM_001011636.1	570	230.916	561	212.071
NM_001011637.1	1369	934.754	0	0
NM_001011638.1	584	240.7	6	2.17594
NM_001011640.1	991	557.568	107	16.7516
NM_001011641.1	970	538.892	1461	236.657
NM_001011643.1	2378	1943.75	3334	149.725
NM_001011577.1	2389	1954.75	723	32.2862
NM_001011650.1	2242	1807.75	54	2.60751
NM_001011634.2	3754	3319.75	88	2.31392
NM_001012429.1	672	302.856	49974	14403.9
NM_001012627.1	3153	2718.75	276	8.86157
NM_001012615.1	1097	662.754	844	111.163
NM_001012962.1	3606	3171.75	135	3.7154
NM_001012963.1	502	186.52	2	0.935999
NM_001013006.1	2991	2556.75	70	2.3899
NM_001013361.1	4113	3678.75	18	0.427113
NM_001014429.1	1427	992.754	179	15.7392
NM_001014430.1	438	149.701	31	18.0763
NM_001014983.1	3250	2815.75	31	0.961033
NM_001014991.1	7242	6807.75	432	5.53925
NM_001014993.1	1386	951.754	1553	142.435
NM_001014994.1	1892	1457.75	1134	67.9047
NM_001024697.1	1793	1358.75	0	0
NM_001032361.1	3585	3150.75	216	5.98426
NM_001039968.1	1349	914.754	19	1.8131
NM_001040231.1	363	121.252	0	0
NM_001040233.1	1647	1212.75	914	65.7877
NM_001040230.1	13107	12672.8	1251	8.61703
NM_001040234.1	1500	1065.75	0	0
NM_001040208.1	582	239.26	0	0
NM_001040204.1	793	391.406	4652	1037.49
NM_001040203.1	644	282.967	1426	439.902
NM_001040205.1	698	321.44	0	0
NM_001040207.1	1179	744.754	632	74.0757
NM_001040206.1	682	309.693	123	34.6692
NM_001040220.1	483	175.603	0	0
NM_001040221.1	459	161.881	175	94.3653
NM_001040209.1	588	243.372	15	5.38012
NM_001040224.1	399	130.089	0	0
NM_001040229.1	453	158.49	7	3.85539
NM_001040223.1	555	220.333	68	26.9402
NM_001040227.1	724	341.642	2	0.51101
NM_001040225.1	407	134.751	0	0
NM_001040226.1	432	146.592	13	7.74113
NM_001040236.1	1767	1332.75	473	30.9801
NM_001040267.1	1895	1460.75	2747	164.155
NM_001040255.1	1893	1458.75	293	17.533
NM_001040257.1	1554	1119.75	77	6.0026
NM_001040258.1	1250	815.754	239.132	25.5887
NM_001040265.1	1689	1254.75	24	1.66964
NM_001040263.1	1550	1115.75	376	29.4165
NM_001040256.1	767	373.392	46	10.7539
NM_001040259.1	1743	1308.75	2	0.133396
NM_001040264.1	1600	1165.75	6	0.449279
NM_001040270.1	509	190.571	0	0
NM_001040269.1	1397	962.754	2022.72	183.397
NM_001040277.1	2150	1715.75	146	7.42795
NM_001040681.1	2499	2064.75	155	6.55292
NM_001042458.1	1737	1302.75	1275	85.4317
NM_001042460.1	1794	1359.75	275	17.654
NM_001077809.1	1344	909.754	4063	389.847
NM_001077808.1	5328	4893.75	138	2.46155
NM_001077812.1	1470	1035.75	224	18.8783
NM_001077811.1	1287	852.754	105	10.7482
NM_001077810.1	354	118.048	657	485.825
NM_001077813.1	3226	2791.75	186	5.81577
NM_001077815.1	1855	1420.75	268	16.466
NM_001077814.1	387	123.122	0	0
